state,lookups,total_s,avg_ms,qps,p50_ms,p95_ms,p99_ms,max_ms
baseline (seq scan),1000,10.1666,10.1666,98.4,9.7138,12.3326,17.562,18.4179
hash index,1000,0.1594,0.1594,6273.2,0.1485,0.217,0.3094,0.3388
